age,gender,occupation,daily_screen_time_hours,phone_usage_before_sleep_minutes,sleep_hours,sleep_quality_score,stress_level,caffeine_intake_cups,physical_activity_minutes,notifications_received_per_day,mental_fatigue_score,stress_category,sleep_duration_category,sleep_quality_category,phone_usage_before_sleep_category,daily_screen_time_category,sleep_deficit_hours,poor_quality_and_short_sleep,high_phone_usage_low_sleep,high_screen_high_fatigue,notification_intensity_per_hour,priority_segment
58,Female,Researcher,8.51,34,6.38,5.09,9.79,4,68,39,9.34,high,ideal,moderate,medium,high,0.6200000000000001,0,0,1,1.625,high_screen_time
29,Female,Freelancer,1.37,106,7.97,7.44,2.54,0,24,141,3.48,low,ideal,moderate,high,low,0.0,0,0,0,5.875,general_users
32,Male,Manager,7.82,51,5.98,4.88,9.19,2,32,218,9.19,high,short,poor,medium,high,1.0199999999999996,1,0,1,9.083333333333334,high_screen_low_sleep_quality
48,Male,Software Engineer,2.9,52,7.5,7.99,5.13,3,45,228,6.32,medium,ideal,good,medium,low,0.0,0,0,0,9.5,general_users
46,Female,Doctor,5.39,13,5.16,8.5,5.9,0,11,163,6.58,medium,short,good,low,moderate,1.8399999999999999,0,0,0,6.791666666666667,general_users
43,Female,Teacher,7.26,102,8.59,6.17,9.46,3,9,108,7.6,high,long,moderate,high,high,0.0,0,0,1,4.5,high_screen_time
35,Male,Researcher,7.83,17,8.84,7.91,7.89,2,17,298,7.3,high,long,good,low,high,0.0,0,0,1,12.416666666666666,high_screen_time
49,Male,Student,8.99,37,8.51,5.6,9.21,2,111,190,8.85,high,long,moderate,medium,high,0.0,0,0,1,7.916666666666667,high_screen_time
39,Female,Software Engineer,3.54,85,5.73,8.28,2.64,3,99,55,1.98,low,short,good,high,low,1.2699999999999996,0,1,0,2.2916666666666665,general_users
55,Male,Teacher,3.02,37,5.38,8.46,2.28,2,63,235,1.78,low,short,good,medium,low,1.62,0,0,0,9.791666666666666,general_users
34,Female,Researcher,9.97,54,4.91,3.74,10.0,0,89,286,10.0,high,short,poor,medium,high,2.09,1,0,1,11.916666666666666,high_screen_low_sleep_quality
40,Female,Software Engineer,2.87,10,8.36,10.0,1.0,3,93,21,3.01,low,long,good,low,low,0.0,0,0,0,0.875,general_users
41,Male,Researcher,6.99,66,4.59,4.94,10.0,4,45,247,10.0,high,short,poor,high,moderate,2.41,1,1,0,10.291666666666666,low_sleep_quality
25,Female,Teacher,9.57,52,7.21,4.05,10.0,1,18,243,10.0,high,ideal,poor,medium,high,0.0,0,0,1,10.125,high_screen_low_sleep_quality
58,Female,Designer,9.07,77,5.66,4.75,10.0,1,97,105,10.0,high,short,poor,high,high,1.3399999999999999,1,1,1,4.375,high_screen_low_sleep_quality
23,Female,Designer,4.99,43,4.94,6.91,6.22,3,27,194,7.39,medium,short,moderate,medium,moderate,2.0599999999999996,0,0,0,8.083333333333334,general_users
22,Male,Designer,6.74,24,4.92,5.12,10.0,2,117,160,10.0,high,short,moderate,low,moderate,2.08,0,0,0,6.666666666666667,general_users
46,Male,Researcher,5.76,61,8.35,7.36,6.32,0,23,206,7.24,medium,long,moderate,high,moderate,0.0,0,0,0,8.583333333333334,general_users
45,Female,Software Engineer,4.12,13,8.3,7.25,6.88,4,104,277,6.13,medium,long,moderate,low,moderate,0.0,0,0,0,11.541666666666666,general_users
28,Male,Designer,2.3,46,5.36,9.28,3.08,0,63,34,2.71,low,short,good,medium,low,1.6399999999999997,0,0,0,1.4166666666666667,general_users
18,Male,Student,8.23,94,4.17,4.37,10.0,2,79,225,10.0,high,short,poor,high,high,2.83,1,1,1,9.375,high_screen_low_sleep_quality
36,Male,Student,1.81,88,8.35,7.63,2.72,4,48,297,3.23,low,long,good,high,low,0.0,0,0,0,12.375,general_users
26,Male,Designer,6.49,54,4.29,5.39,8.4,1,88,145,9.05,high,short,moderate,medium,moderate,2.71,0,0,0,6.041666666666667,general_users
44,Male,Teacher,6.35,104,4.42,5.67,8.31,0,100,220,8.54,high,short,moderate,high,moderate,2.58,0,1,0,9.166666666666666,general_users
51,Male,Teacher,4.01,82,8.11,6.13,5.59,0,58,44,5.07,medium,long,moderate,high,moderate,0.0,0,0,0,1.8333333333333333,general_users
21,Female,Software Engineer,2.22,11,8.09,10.0,2.23,1,103,231,1.82,low,long,good,low,low,0.0,0,0,0,9.625,general_users
53,Female,Teacher,8.2,6,5.01,6.82,9.23,0,107,269,8.76,high,short,moderate,low,high,1.9900000000000002,0,0,1,11.208333333333334,high_screen_time
35,Male,Freelancer,5.16,48,4.19,7.73,5.45,1,71,290,5.78,medium,short,good,medium,moderate,2.8099999999999996,0,0,0,12.083333333333334,general_users
32,Female,Freelancer,7.53,13,4.31,4.87,10.0,3,28,257,9.44,high,short,poor,low,high,2.6900000000000004,1,0,1,10.708333333333334,high_screen_low_sleep_quality
30,Male,Researcher,1.15,28,6.27,9.83,1.0,1,102,77,1.0,low,ideal,good,low,low,0.7300000000000004,0,0,0,3.2083333333333335,general_users
36,Female,Freelancer,1.67,46,6.09,8.82,1.0,1,83,262,1.3,low,ideal,good,medium,low,0.9100000000000001,0,0,0,10.916666666666666,general_users
23,Male,Doctor,2.58,13,4.91,7.91,2.87,3,2,148,1.0,low,short,good,low,low,2.09,0,0,0,6.166666666666667,general_users
29,Male,Researcher,2.02,86,8.55,9.64,1.98,3,1,153,5.27,low,long,good,high,low,0.0,0,0,0,6.375,general_users
54,Female,Teacher,2.73,50,6.76,6.59,6.61,2,102,119,6.8,medium,ideal,moderate,medium,low,0.2400000000000002,0,0,0,4.958333333333333,general_users
34,Male,Researcher,7.18,114,8.04,3.7,10.0,2,77,143,8.91,high,long,poor,high,high,0.0,0,0,1,5.958333333333333,high_screen_low_sleep_quality
40,Female,Student,1.42,13,4.52,9.06,1.0,4,59,220,1.0,low,short,good,low,low,2.4800000000000004,0,0,0,9.166666666666666,general_users
43,Male,Manager,1.34,86,8.87,9.36,1.0,1,52,74,1.26,low,long,good,high,low,0.0,0,0,0,3.0833333333333335,general_users
46,Male,Teacher,1.28,7,8.05,8.75,2.5,4,22,114,4.44,low,long,good,low,low,0.0,0,0,0,4.75,general_users
50,Female,Freelancer,7.28,76,5.44,3.99,9.89,3,51,118,9.23,high,short,poor,high,high,1.5599999999999996,1,1,1,4.916666666666667,high_screen_low_sleep_quality
44,Female,Software Engineer,5.83,99,4.1,4.83,10.0,1,106,277,8.02,high,short,poor,high,moderate,2.9000000000000004,1,1,0,11.541666666666666,low_sleep_quality
42,Male,Teacher,4.33,107,4.82,5.44,8.62,1,117,142,8.56,high,short,moderate,high,moderate,2.1799999999999997,0,1,0,5.916666666666667,general_users
27,Male,Freelancer,7.08,64,6.09,5.61,9.19,1,19,254,9.06,high,ideal,moderate,high,high,0.9100000000000001,0,0,1,10.583333333333334,high_screen_time
40,Male,Software Engineer,5.98,36,4.01,5.79,9.1,3,33,38,8.5,high,short,moderate,medium,moderate,2.99,0,0,0,1.5833333333333333,general_users
38,Female,Doctor,1.07,89,4.2,7.42,3.43,0,31,153,4.32,low,short,moderate,high,low,2.8,0,1,0,6.375,general_users
38,Female,Designer,8.55,67,4.49,4.44,10.0,4,26,62,9.6,high,short,poor,high,high,2.51,1,1,1,2.5833333333333335,high_screen_low_sleep_quality
30,Male,Doctor,4.15,15,8.05,6.35,6.56,2,80,225,6.05,medium,long,moderate,low,moderate,0.0,0,0,0,9.375,general_users
54,Female,Student,4.6,88,6.73,7.22,3.66,2,108,60,4.37,low,ideal,moderate,high,moderate,0.2699999999999996,0,0,0,2.5,general_users
50,Male,Manager,8.04,82,4.95,4.43,10.0,0,9,190,9.97,high,short,poor,high,high,2.05,1,1,1,7.916666666666667,high_screen_low_sleep_quality
41,Male,Doctor,2.68,19,5.32,7.65,3.74,1,33,183,3.21,low,short,good,low,low,1.6799999999999997,0,0,0,7.625,general_users
28,Male,Doctor,1.09,89,7.21,8.25,4.0,2,117,146,2.64,medium,ideal,good,high,low,0.0,0,0,0,6.083333333333333,general_users
34,Female,Student,9.18,114,5.59,3.9,10.0,3,31,55,10.0,high,short,poor,high,high,1.4100000000000001,1,1,1,2.2916666666666665,high_screen_low_sleep_quality
21,Male,Student,5.55,95,7.41,5.34,8.57,1,72,161,9.11,high,ideal,moderate,high,moderate,0.0,0,0,0,6.708333333333333,general_users
42,Female,Designer,4.15,66,7.89,6.24,5.38,3,72,119,5.18,medium,ideal,moderate,high,moderate,0.0,0,0,0,4.958333333333333,general_users
47,Female,Designer,8.37,111,5.53,4.22,10.0,4,41,220,10.0,high,short,poor,high,high,1.4699999999999998,1,1,1,9.166666666666666,high_screen_low_sleep_quality
26,Male,Teacher,1.24,70,5.83,6.48,4.57,1,12,217,3.17,medium,short,moderate,high,low,1.17,0,1,0,9.041666666666666,general_users
38,Male,Software Engineer,2.82,31,4.25,8.21,4.77,3,27,234,6.03,medium,short,good,medium,low,2.75,0,0,0,9.75,general_users
37,Male,Student,2.4,68,8.1,7.5,4.53,0,116,98,4.89,medium,long,good,high,low,0.0,0,0,0,4.083333333333333,general_users
36,Female,Researcher,7.64,84,7.03,5.6,9.63,0,30,197,9.55,high,ideal,moderate,high,high,0.0,0,0,1,8.208333333333334,high_screen_time
36,Female,Doctor,3.81,29,8.44,8.03,4.54,2,7,77,5.42,medium,long,good,low,low,0.0,0,0,0,3.2083333333333335,general_users
29,Male,Doctor,7.96,19,4.94,6.27,10.0,4,87,78,10.0,high,short,moderate,low,high,2.0599999999999996,0,0,1,3.25,high_screen_time
54,Male,Designer,1.37,57,8.8,7.06,4.98,1,11,27,4.65,medium,long,moderate,medium,low,0.0,0,0,0,1.125,general_users
59,Male,Software Engineer,6.47,28,7.53,8.01,7.02,4,97,56,6.62,high,ideal,good,low,moderate,0.0,0,0,0,2.3333333333333335,general_users
34,Male,Freelancer,3.86,23,4.98,8.07,5.12,4,70,78,4.51,medium,short,good,low,low,2.0199999999999996,0,0,0,3.25,general_users
54,Female,Student,2.68,0,6.31,7.2,4.93,4,113,247,4.57,medium,ideal,moderate,low,low,0.6900000000000004,0,0,0,10.291666666666666,general_users
56,Male,Designer,8.35,106,7.49,2.78,10.0,1,119,266,9.32,high,ideal,poor,high,high,0.0,0,0,1,11.083333333333334,high_screen_low_sleep_quality
45,Male,Freelancer,4.71,88,4.08,6.17,5.32,4,98,178,7.22,medium,short,moderate,high,moderate,2.92,0,1,0,7.416666666666667,general_users
58,Female,Software Engineer,6.14,26,7.9,5.98,7.84,2,55,46,8.28,high,ideal,moderate,low,moderate,0.0,0,0,0,1.9166666666666667,general_users
52,Male,Student,1.3,88,8.74,9.39,2.22,0,29,296,3.16,low,long,good,high,low,0.0,0,0,0,12.333333333333334,general_users
35,Female,Doctor,8.12,20,4.41,6.21,9.02,1,99,111,7.96,high,short,moderate,low,high,2.59,0,0,1,4.625,high_screen_time
31,Male,Doctor,3.58,16,8.49,7.78,4.25,2,84,243,5.79,medium,long,good,low,low,0.0,0,0,0,10.125,general_users
52,Female,Designer,7.24,91,6.32,4.06,10.0,2,14,27,9.48,high,ideal,poor,high,high,0.6799999999999997,0,0,1,1.125,high_screen_low_sleep_quality
58,Male,Software Engineer,7.84,31,6.58,4.76,8.77,3,69,57,9.86,high,ideal,poor,medium,high,0.41999999999999993,0,0,1,2.375,high_screen_low_sleep_quality
24,Female,Doctor,2.05,43,8.2,7.59,3.14,2,47,294,3.25,low,long,good,medium,low,0.0,0,0,0,12.25,general_users
58,Male,Researcher,3.66,113,6.95,5.58,5.36,4,15,231,5.12,medium,ideal,moderate,high,low,0.04999999999999982,0,0,0,9.625,general_users
30,Female,Freelancer,7.51,97,5.76,3.33,10.0,0,13,95,10.0,high,short,poor,high,high,1.2400000000000002,1,1,1,3.9583333333333335,high_screen_low_sleep_quality
35,Male,Software Engineer,3.09,21,7.66,7.65,4.3,4,75,51,4.63,medium,ideal,good,low,low,0.0,0,0,0,2.125,general_users
54,Female,Designer,8.63,41,4.69,6.65,10.0,4,32,61,10.0,high,short,moderate,medium,high,2.3099999999999996,0,0,1,2.5416666666666665,high_screen_time
30,Male,Freelancer,3.81,82,7.33,6.54,5.71,2,117,80,5.25,medium,ideal,moderate,high,low,0.0,0,0,0,3.3333333333333335,general_users
53,Female,Freelancer,4.62,61,7.87,6.15,5.46,1,45,58,5.15,medium,ideal,moderate,high,moderate,0.0,0,0,0,2.4166666666666665,general_users
48,Female,Teacher,1.9,47,5.67,8.06,2.88,1,109,254,1.72,low,short,good,medium,low,1.33,0,0,0,10.583333333333334,general_users
19,Female,Software Engineer,2.33,7,8.85,8.44,4.8,0,80,47,4.53,medium,long,good,low,low,0.0,0,0,0,1.9583333333333333,general_users
33,Female,Manager,3.48,1,7.2,8.54,4.6,3,32,287,4.42,medium,ideal,good,low,low,0.0,0,0,0,11.958333333333334,general_users
26,Male,Software Engineer,1.44,4,4.48,10.0,1.1,4,37,202,1.78,low,short,good,low,low,2.5199999999999996,0,0,0,8.416666666666666,general_users
26,Male,Designer,2.74,27,8.83,7.47,4.49,1,61,30,4.41,medium,long,moderate,low,low,0.0,0,0,0,1.25,general_users
55,Female,Manager,4.68,3,7.72,7.07,5.83,2,27,133,6.66,medium,ideal,moderate,low,moderate,0.0,0,0,0,5.541666666666667,general_users
28,Male,Teacher,4.42,52,7.48,5.82,6.6,4,41,20,6.73,medium,ideal,moderate,medium,moderate,0.0,0,0,0,0.8333333333333334,general_users
39,Male,Doctor,2.79,99,5.27,7.99,4.18,4,20,29,5.25,medium,short,good,high,low,1.7300000000000004,0,1,0,1.2083333333333333,general_users
50,Male,Student,1.72,0,6.37,10.0,1.0,3,60,114,1.33,low,ideal,good,low,low,0.6299999999999999,0,0,0,4.75,general_users
53,Male,Designer,3.86,78,8.51,6.69,5.95,4,95,137,5.12,medium,long,moderate,high,low,0.0,0,0,0,5.708333333333333,general_users
40,Female,Student,7.71,76,5.54,5.52,9.37,3,78,133,9.56,high,short,moderate,high,high,1.46,0,1,1,5.541666666666667,high_screen_time
51,Female,Teacher,5.59,94,6.12,5.86,7.66,1,57,247,9.37,high,ideal,moderate,high,moderate,0.8799999999999999,0,0,0,10.291666666666666,general_users
26,Female,Manager,9.52,80,5.28,3.25,10.0,1,24,177,10.0,high,short,poor,high,high,1.7199999999999998,1,1,1,7.375,high_screen_low_sleep_quality
41,Male,Teacher,2.26,5,5.08,8.33,3.5,4,99,185,2.98,low,short,good,low,low,1.92,0,0,0,7.708333333333333,general_users
25,Female,Researcher,2.87,87,4.22,7.26,6.17,4,86,296,6.25,medium,short,moderate,high,low,2.7800000000000002,0,1,0,12.333333333333334,general_users
24,Female,Software Engineer,3.52,54,7.68,8.1,3.68,3,97,135,2.78,low,ideal,good,medium,low,0.0,0,0,0,5.625,general_users
53,Female,Researcher,1.12,51,4.45,8.04,3.07,2,75,95,2.72,low,short,good,medium,low,2.55,0,0,0,3.9583333333333335,general_users
35,Female,Student,9.49,76,6.66,5.97,10.0,4,117,144,10.0,high,ideal,moderate,high,high,0.33999999999999986,0,0,1,6.0,high_screen_time
20,Female,Student,5.01,84,4.25,5.28,9.59,3,6,174,8.02,high,short,moderate,high,moderate,2.75,0,1,0,7.25,general_users
45,Male,Teacher,5.33,23,8.92,6.65,5.56,0,31,118,4.82,medium,long,moderate,low,moderate,0.0,0,0,0,4.916666666666667,general_users
23,Male,Manager,2.42,61,7.55,8.22,3.65,3,62,133,2.24,low,ideal,good,high,low,0.0,0,0,0,5.541666666666667,general_users
38,Male,Student,8.85,117,7.15,2.22,10.0,4,23,95,8.79,high,ideal,poor,high,high,0.0,0,0,1,3.9583333333333335,high_screen_low_sleep_quality
45,Female,Freelancer,7.23,55,4.93,4.73,10.0,4,22,218,9.35,high,short,poor,medium,high,2.0700000000000003,1,0,1,9.083333333333334,high_screen_low_sleep_quality
57,Female,Doctor,4.88,85,6.64,5.79,6.83,0,38,220,6.62,medium,ideal,moderate,high,moderate,0.3600000000000003,0,0,0,9.166666666666666,general_users
18,Female,Teacher,8.9,92,6.52,4.27,10.0,1,97,205,10.0,high,ideal,poor,high,high,0.4800000000000004,0,0,1,8.541666666666666,high_screen_low_sleep_quality
53,Female,Software Engineer,9.15,23,5.79,6.88,9.34,1,4,225,9.18,high,short,moderate,low,high,1.21,0,0,1,9.375,high_screen_time
38,Female,Software Engineer,1.45,107,4.78,7.59,4.29,0,95,52,4.91,medium,short,good,high,low,2.2199999999999998,0,1,0,2.1666666666666665,general_users
52,Female,Software Engineer,2.07,75,5.84,7.45,1.99,4,59,286,1.82,low,short,moderate,high,low,1.1600000000000001,0,1,0,11.916666666666666,general_users
30,Female,Student,1.25,19,7.05,9.43,1.0,3,12,169,1.1,low,ideal,good,low,low,0.0,0,0,0,7.041666666666667,general_users
27,Male,Teacher,6.24,105,6.44,5.62,8.94,2,31,298,8.58,high,ideal,moderate,high,moderate,0.5599999999999996,0,0,0,12.416666666666666,general_users
27,Male,Researcher,2.96,33,6.85,7.75,4.38,0,45,108,2.75,medium,ideal,good,medium,low,0.15000000000000036,0,0,0,4.5,general_users
30,Male,Software Engineer,8.6,14,6.86,6.04,10.0,0,74,184,8.87,high,ideal,moderate,low,high,0.13999999999999968,0,0,1,7.666666666666667,high_screen_time
54,Male,Teacher,5.19,50,5.22,6.82,9.25,3,111,197,8.29,high,short,moderate,medium,moderate,1.7800000000000002,0,0,0,8.208333333333334,general_users
55,Female,Student,8.54,116,4.55,3.31,10.0,2,111,224,10.0,high,short,poor,high,high,2.45,1,1,1,9.333333333333334,high_screen_low_sleep_quality
41,Male,Doctor,6.0,3,6.61,6.66,7.27,2,71,234,8.05,high,ideal,moderate,low,moderate,0.3899999999999997,0,0,0,9.75,general_users
19,Female,Doctor,8.17,52,8.46,5.7,8.92,4,61,206,9.48,high,long,moderate,medium,high,0.0,0,0,1,8.583333333333334,high_screen_time
39,Male,Doctor,4.35,13,8.98,8.52,3.02,0,31,228,1.91,low,long,good,low,moderate,0.0,0,0,0,9.5,general_users
34,Male,Student,9.51,64,7.93,3.19,10.0,3,81,263,10.0,high,ideal,poor,high,high,0.0,0,0,1,10.958333333333334,high_screen_low_sleep_quality
53,Female,Software Engineer,7.0,32,5.11,6.74,6.09,1,82,136,6.37,medium,short,moderate,medium,moderate,1.8899999999999997,0,0,0,5.666666666666667,general_users
31,Female,Student,6.36,49,7.15,6.54,7.55,1,70,67,6.87,high,ideal,moderate,medium,moderate,0.0,0,0,0,2.7916666666666665,general_users
27,Male,Researcher,4.17,110,5.19,5.48,7.59,1,81,121,6.69,high,short,moderate,high,moderate,1.8099999999999996,0,1,0,5.041666666666667,general_users
52,Female,Teacher,9.43,106,6.88,4.99,10.0,3,119,148,9.09,high,ideal,poor,high,high,0.1200000000000001,0,0,1,6.166666666666667,high_screen_low_sleep_quality
42,Male,Doctor,4.04,62,6.4,8.27,4.62,1,101,225,5.29,medium,ideal,good,high,moderate,0.5999999999999996,0,0,0,9.375,general_users
20,Female,Teacher,8.52,49,5.91,4.59,10.0,4,104,62,9.94,high,short,poor,medium,high,1.0899999999999999,1,0,1,2.5833333333333335,high_screen_low_sleep_quality
55,Female,Student,4.64,92,7.21,5.62,8.09,2,80,66,6.49,high,ideal,moderate,high,moderate,0.0,0,0,0,2.75,general_users
34,Male,Designer,7.9,119,8.29,3.75,10.0,1,42,236,8.87,high,long,poor,high,high,0.0,0,0,1,9.833333333333334,high_screen_low_sleep_quality
29,Female,Designer,9.21,73,5.69,4.21,10.0,3,34,135,10.0,high,short,poor,high,high,1.3099999999999996,1,1,1,5.625,high_screen_low_sleep_quality
41,Female,Freelancer,5.19,35,6.43,5.31,9.68,3,72,179,9.74,high,ideal,moderate,medium,moderate,0.5700000000000003,0,0,0,7.458333333333333,general_users
46,Female,Student,5.74,77,6.28,5.11,8.43,1,46,131,8.98,high,ideal,moderate,high,moderate,0.7199999999999998,0,0,0,5.458333333333333,general_users
42,Female,Software Engineer,3.97,85,5.25,6.72,6.57,2,100,235,6.19,medium,short,moderate,high,low,1.75,0,1,0,9.791666666666666,general_users
53,Male,Researcher,1.49,113,6.11,8.43,4.64,2,52,51,6.13,medium,ideal,good,high,low,0.8899999999999997,0,0,0,2.125,general_users
43,Female,Manager,6.87,96,4.11,4.13,10.0,4,8,33,9.98,high,short,poor,high,moderate,2.8899999999999997,1,1,0,1.375,low_sleep_quality
55,Female,Teacher,2.08,91,6.59,6.25,4.38,4,78,282,3.59,medium,ideal,moderate,high,low,0.41000000000000014,0,0,0,11.75,general_users
18,Female,Student,4.19,70,7.6,6.8,4.68,1,85,240,2.57,medium,ideal,moderate,high,moderate,0.0,0,0,0,10.0,general_users
37,Male,Researcher,4.15,99,5.84,5.52,8.22,4,32,208,8.5,high,short,moderate,high,moderate,1.1600000000000001,0,1,0,8.666666666666666,general_users
45,Female,Student,2.36,99,7.73,7.66,3.48,1,32,101,1.05,low,ideal,good,high,low,0.0,0,0,0,4.208333333333333,general_users
33,Female,Designer,7.0,49,7.75,5.55,10.0,4,54,188,10.0,high,ideal,moderate,medium,moderate,0.0,0,0,0,7.833333333333333,general_users
34,Female,Doctor,2.57,40,8.92,7.15,3.11,4,26,74,2.76,low,long,moderate,medium,low,0.0,0,0,0,3.0833333333333335,general_users
57,Male,Doctor,8.01,97,6.73,4.43,10.0,3,109,97,8.41,high,ideal,poor,high,high,0.2699999999999996,0,0,1,4.041666666666667,high_screen_low_sleep_quality
45,Male,Manager,3.24,100,6.02,8.02,3.92,0,31,43,2.88,low,ideal,good,high,low,0.9800000000000004,0,0,0,1.7916666666666667,general_users
29,Male,Software Engineer,3.59,69,7.2,6.0,5.43,1,32,265,4.98,medium,ideal,moderate,high,low,0.0,0,0,0,11.041666666666666,general_users
44,Male,Software Engineer,4.09,98,7.13,6.53,5.18,1,96,284,5.72,medium,ideal,moderate,high,moderate,0.0,0,0,0,11.833333333333334,general_users
59,Female,Manager,2.37,26,8.94,7.77,3.17,1,87,186,2.29,low,long,good,low,low,0.0,0,0,0,7.75,general_users
47,Female,Software Engineer,4.91,29,7.54,6.7,7.47,3,115,96,8.73,high,ideal,moderate,low,moderate,0.0,0,0,0,4.0,general_users
58,Female,Freelancer,1.72,31,5.53,8.14,2.71,4,5,82,3.34,low,short,good,medium,low,1.4699999999999998,0,0,0,3.4166666666666665,general_users
51,Female,Freelancer,4.84,82,4.94,4.89,8.83,1,64,27,10.0,high,short,poor,high,moderate,2.0599999999999996,1,1,0,1.125,low_sleep_quality
54,Male,Designer,4.06,21,7.96,8.77,6.33,1,72,98,8.08,medium,ideal,good,low,moderate,0.0,0,0,0,4.083333333333333,general_users
23,Male,Student,4.04,84,4.9,7.5,6.51,4,86,186,8.19,medium,short,good,high,moderate,2.0999999999999996,0,1,0,7.75,general_users
24,Female,Software Engineer,6.95,68,7.14,3.61,10.0,2,7,191,9.67,high,ideal,poor,high,moderate,0.0,0,0,0,7.958333333333333,low_sleep_quality
49,Female,Designer,7.92,20,4.66,5.23,8.59,1,63,189,10.0,high,short,moderate,low,high,2.34,0,0,1,7.875,high_screen_time
49,Female,Freelancer,4.2,104,7.59,5.9,6.51,1,28,255,8.13,medium,ideal,moderate,high,moderate,0.0,0,0,0,10.625,general_users
42,Male,Teacher,3.36,55,7.91,8.73,4.35,0,17,60,4.3,medium,ideal,good,medium,low,0.0,0,0,0,2.5,general_users
50,Female,Student,5.45,83,8.95,4.24,9.07,1,33,241,9.71,high,long,poor,high,moderate,0.0,0,0,0,10.041666666666666,low_sleep_quality
24,Male,Manager,8.09,101,8.77,4.7,9.87,3,111,200,9.2,high,long,poor,high,high,0.0,0,0,1,8.333333333333334,high_screen_low_sleep_quality
29,Female,Teacher,6.8,30,7.57,5.1,10.0,2,71,45,10.0,high,ideal,moderate,medium,moderate,0.0,0,0,0,1.875,general_users
33,Other,Doctor,1.34,100,5.39,8.62,1.04,2,56,230,1.0,low,short,good,high,low,1.6100000000000003,0,1,0,9.583333333333334,general_users
33,Female,Doctor,5.32,58,4.22,6.71,6.66,4,9,152,8.65,medium,short,moderate,medium,moderate,2.7800000000000002,0,0,0,6.333333333333333,general_users
53,Male,Student,9.92,69,6.78,3.01,10.0,1,34,254,9.03,high,ideal,poor,high,high,0.21999999999999975,0,0,1,10.583333333333334,high_screen_low_sleep_quality
30,Female,Software Engineer,4.18,94,7.83,5.91,5.82,2,79,265,7.29,medium,ideal,moderate,high,moderate,0.0,0,0,0,11.041666666666666,general_users
24,Male,Student,4.97,110,4.05,5.66,9.4,3,87,250,9.34,high,short,moderate,high,moderate,2.95,0,1,0,10.416666666666666,general_users
53,Male,Software Engineer,3.59,42,6.62,6.08,5.25,0,7,267,4.61,medium,ideal,moderate,medium,low,0.3799999999999999,0,0,0,11.125,general_users
26,Female,Manager,5.48,87,8.41,6.83,5.97,0,10,198,5.13,medium,long,moderate,high,moderate,0.0,0,0,0,8.25,general_users
49,Male,Doctor,2.45,53,7.19,6.93,5.86,0,4,194,4.38,medium,ideal,moderate,medium,low,0.0,0,0,0,8.083333333333334,general_users
28,Female,Freelancer,3.22,117,7.42,6.41,5.98,2,23,67,6.42,medium,ideal,moderate,high,low,0.0,0,0,0,2.7916666666666665,general_users
25,Male,Freelancer,7.41,17,6.37,5.49,8.45,3,35,106,9.24,high,ideal,moderate,low,high,0.6299999999999999,0,0,1,4.416666666666667,high_screen_time
50,Female,Student,2.24,54,8.72,7.07,4.36,0,68,41,5.18,medium,long,moderate,medium,low,0.0,0,0,0,1.7083333333333333,general_users
40,Female,Student,9.34,28,5.87,4.37,10.0,2,115,213,10.0,high,short,poor,low,high,1.13,1,0,1,8.875,high_screen_low_sleep_quality
42,Male,Manager,3.77,60,5.9,7.78,4.61,3,101,185,5.43,medium,short,good,medium,low,1.0999999999999996,0,0,0,7.708333333333333,general_users
25,Female,Freelancer,6.18,50,6.59,5.12,8.76,4,29,244,8.84,high,ideal,moderate,medium,moderate,0.41000000000000014,0,0,0,10.166666666666666,general_users
39,Female,Software Engineer,3.9,75,6.93,6.28,5.07,2,116,212,4.61,medium,ideal,moderate,high,low,0.07000000000000028,0,0,0,8.833333333333334,general_users
21,Female,Doctor,5.3,11,6.69,8.8,5.07,2,74,155,4.62,medium,ideal,good,low,moderate,0.3099999999999996,0,0,0,6.458333333333333,general_users
57,Female,Doctor,9.13,92,8.09,3.11,10.0,0,37,230,9.74,high,long,poor,high,high,0.0,0,0,1,9.583333333333334,high_screen_low_sleep_quality
20,Other,Software Engineer,1.62,60,8.17,8.25,1.0,4,110,211,1.26,low,long,good,medium,low,0.0,0,0,0,8.791666666666666,general_users
46,Male,Manager,8.71,70,4.66,5.15,10.0,0,25,175,10.0,high,short,moderate,high,high,2.34,0,1,1,7.291666666666667,high_screen_time
58,Male,Software Engineer,6.02,15,6.98,6.83,7.23,1,38,283,7.84,high,ideal,moderate,low,moderate,0.019999999999999574,0,0,0,11.791666666666666,general_users
46,Male,Manager,6.99,11,8.92,4.41,9.01,4,66,67,7.28,high,long,poor,low,moderate,0.0,0,0,0,2.7916666666666665,low_sleep_quality
51,Female,Software Engineer,1.5,61,7.0,8.61,3.03,3,103,106,2.61,low,ideal,good,high,low,0.0,0,0,0,4.416666666666667,general_users
51,Female,Doctor,7.85,84,7.44,3.88,10.0,3,113,286,9.15,high,ideal,poor,high,high,0.0,0,0,1,11.916666666666666,high_screen_low_sleep_quality
45,Female,Researcher,2.15,67,8.31,8.22,3.21,1,36,187,2.99,low,long,good,high,low,0.0,0,0,0,7.791666666666667,general_users
30,Female,Doctor,9.68,105,8.33,3.25,10.0,2,104,257,10.0,high,long,poor,high,high,0.0,0,0,1,10.708333333333334,high_screen_low_sleep_quality
32,Female,Student,8.19,59,4.09,4.6,9.54,2,76,291,8.5,high,short,poor,medium,high,2.91,1,0,1,12.125,high_screen_low_sleep_quality
